Designator,Mid X,Mid Y,Rotation,Layer
H1,43.0,-52.25,0.0,top
H2,270.287923,-52.25,0.0,top
H3,43.0,-113.75,0.0,top
H4,270.287923,-113.75,0.0,top
H5,132.0,-54.25,0.0,top
H6,181.287923,-54.25,0.0,top
H7,138.0,-151.0,0.0,top
H8,175.287923,-151.0,0.0,top
JST1,181.883202,-124.785997,202.0,top
RST1,190.887923,-54.825,180.0,top
S1,51.2625,-99.733,180.0,bottom
S10,105.03386957683263,-103.73224873501826,202.0,bottom
S11,111.40218157683262,-87.97012373501825,202.0,bottom
S12,117.77049457683262,-72.20799773501825,202.0,bottom
S13,120.17792657683262,-114.29980073501825,202.0,bottom
S14,126.54623957683262,-98.53767573501825,202.0,bottom
S15,132.91455157683262,-82.77554973501826,202.0,bottom
S16,88.35655157683263,-120.31748873501826,202.0,bottom
S17,106.0393049426163,-130.58810378554685,217.0,bottom
S18,120.46130248381164,-145.08538996251656,232.0,bottom
S19,264.550423,-99.733,180.0,bottom
S2,51.2625,-82.733,180.0,bottom
S20,264.550423,-82.733,180.0,bottom
S21,264.550423,-65.733,180.0,bottom
S22,245.20650772474085,-91.51090150564124,170.0,bottom
S23,242.25448872474084,-74.76916950564123,170.0,bottom
S24,239.30246972474083,-58.027437505641245,170.0,bottom
S25,225.3141270053075,-89.37642400369431,162.0,bottom
S26,220.06083800530752,-73.2084630036943,162.0,bottom
S27,214.80754900530752,-57.040503003694305,162.0,bottom
S28,210.59519265594852,-102.78636708664308,158.0,bottom
S29,204.22688065594852,-87.02424208664308,158.0,bottom
S3,51.2625,-65.733,180.0,bottom
S30,197.85856865594852,-71.26211608664309,158.0,bottom
S31,195.45113565594852,-113.35391908664309,158.0,bottom
S32,189.08282365594852,-97.59179408664309,158.0,bottom
S33,182.7145116559485,-81.82966808664308,158.0,bottom
S34,227.2725106559485,-119.37160708664308,158.0,bottom
S35,209.2651727202531,-129.06852085208791,143.0,bottom
S36,194.38116574138564,-143.09566280965956,128.0,bottom
S4,70.56805386680723,-91.94936298060206,190.0,bottom
S5,73.52007286680724,-75.20763098060206,190.0,bottom
S6,76.47209186680723,-58.46589898060206,190.0,bottom
S7,90.37521369833773,-90.15669191449105,198.0,bottom
S8,95.62850269833774,-73.98873091449104,198.0,bottom
S9,100.88179169833774,-57.82077091449105,198.0,bottom
