Designator,Mid X,Mid Y,Rotation,Layer
S1,48.320866,-99.877996,0.0,top
S10,102.27611115555494,-102.93137391181966,338.0,top
S11,108.64440815555496,-87.16924891181966,338.0,top
S12,115.01272415555495,-71.40712091181966,338.0,top
S13,117.42014515555495,-113.49892991181967,338.0,top
S14,123.78847515555495,-97.73680191181967,338.0,top
S15,130.15677615555495,-81.97467991181966,338.0,top
S16,85.59877415555495,-119.51660191181966,338.0,top
S17,103.60610948792095,-129.21353425255134,323.0,top
S18,118.49012127794805,-143.2406687700196,308.0,top
S19,261.608802,-99.87801,0.0,top
S2,48.320884,-82.87801,0.0,top
S20,261.608782,-82.87803,0.0,top
S21,261.608794,-65.878012,0.0,top
S22,242.303239597056,-92.09436785253062,10.0,top
S23,239.351217597056,-75.35263085253062,10.0,top
S24,236.399196597056,-58.61088885253063,10.0,top
S25,222.49608004158875,-90.30170027245153,18.0,top
S26,217.24280604158875,-74.13373927245152,18.0,top
S27,211.98949504158875,-57.96577927245153,18.0,top
S28,207.83742049598354,-103.87726410962485,22.0,top
S29,201.46911749598354,-88.11514010962485,22.0,top
S3,48.320863,-65.878008,0.0,top
S30,195.10080549598354,-72.35300710962485,22.0,top
S31,192.69337649598353,-114.44480710962485,22.0,top
S32,186.32505649598355,-98.68267910962484,22.0,top
S33,179.95674249598355,-82.92055710962485,22.0,top
S34,224.51474749598353,-120.46248510962485,22.0,top
S35,206.83199825874817,-130.73311638736186,37.0,top
S36,192.40999549685466,-145.23040192287655,52.0,top
S4,67.6647854337151,-91.65591069448168,350.0,top
S5,70.6168074337151,-74.91416269448167,350.0,top
S6,73.5688344337151,-58.172454694481665,350.0,top
S7,87.55716204363597,-89.52143969467731,342.0,top
S8,92.81045404363597,-73.35347069467731,342.0,top
S9,98.06373204363597,-57.18550269467732,342.0,top
